"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","项目名称：测试项目","0","","0","3","","0"
"0","项目名称：测试项目","0","模块名称：登录","1","0","页面名称：登录页面","0"
